	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
0	ABC	MXAN_0251	LWT	01.23.13	mic4	ABC Transporters--MXAN_0251--MXAN_0251-mic4-01.23.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/MXAN_0251-mic4-01.23.13	True	0
1	ABC	MXAN_0251	LWT	01.23.13	mic5	ABC Transporters--MXAN_0251--MXAN_0251-mic5-01.23.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/MXAN_0251-mic5-01.23.13	True	0
2	ABC	MXAN_0251	LWT	01.23.13	mic7	ABC Transporters--MXAN_0251--MXAN_0251-mic7-01.23.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/MXAN_0251-mic7-01.23.13	True	0
3	ABC	MXAN_0251	LWT			ABC Transporters--MXAN_0251--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/test	True	0
4	ABC	MXAN_0553	LWT		mic4	ABC Transporters--MXAN_0553--MXAN_0553-mic-4	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0553/MXAN_0553-mic-4	True	0
5	ABC	MXAN_0553	LWT		mic8	ABC Transporters--MXAN_0553--MXAN_0553-mic-8	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0553/MXAN_0553-mic-8	True	0
6	ABC	MXAN_0553	LWT			ABC Transporters--MXAN_0553--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0553/test	True	0
7	ABC	MXAN_0554	LWT	05.24.12	mic4	ABC Transporters--MXAN_0554--MXAN_0554-mic4-5.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0554/MXAN_0554-mic4-5.24.12	True	0
8	ABC	MXAN_0554	LWT	05.24.12	mic7	ABC Transporters--MXAN_0554--MXAN_0554-mic7-5.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0554/MXAN_0554-mic7-5.24.12	True	0
9	ABC	MXAN_0554	LWT			ABC Transporters--MXAN_0554--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0554/test	True	0
10	ABC	MXAN_0559	Variable	05.16.12	mic3	ABC Transporters--MXAN_0559--MXAN_0559-mic3-5.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/MXAN_0559-mic3-5.16.12	True	0
11	ABC	MXAN_0559	Variable	05.16.12	mic6	ABC Transporters--MXAN_0559--MXAN_0559-mic6-5.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/MXAN_0559-mic6-5.16.12	True	0
12	ABC	MXAN_0559	Variable	05.16.12	mic8	ABC Transporters--MXAN_0559--MXAN_0559-mic8-5.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/MXAN_0559-mic8-5.16.12	True	0
13	ABC	MXAN_0559	Variable			ABC Transporters--MXAN_0559--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/test	True	0
14	ABC	MXAN_0596	Late abnormal			ABC Transporters--MXAN_0596	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0596	False	4
